gen,fitness_psnr,fitness_time,fitness_memory,learning_rate,num_hidden_layers,neurons_per_layer,batch_size,learning_decay_steps
10,25.777530670166016,105.08326959609985,6301.11767578125,0.002073666658514304,3,222,215,165
17,24.62491798400879,368.13079047203064,6301.11767578125,0.0019015006847283647,1,51,1740,153
15,24.439586639404297,369.67149472236633,6301.11767578125,0.0019015006847283647,1,51,1740,153
11,24.08785629272461,99.52309250831604,6301.11767578125,0.0020749696344884356,2,247,268,141
15,23.741662979125977,96.14799308776855,6301.11767578125,0.0018264624758568182,3,223,215,142
0,21.965513229370117,149.10969591140747,1156.8349609375,0.00643032530473305,1,152,481,762
19,21.171607971191406,87.9168860912323,6301.11767578125,0.002073666658514304,3,223,215,165
0,20.780614852905273,117.80744934082031,6052.21142578125,0.002271275515657105,11,268,215,142
25,19.97422218322754,75.47829174995422,6301.11767578125,0.003783462927424995,11,28,129,129
29,15.904327392578125,70.32305026054382,6301.11767578125,0.00422332937295534,11,28,48,129
0,10.767752647399902,146.47759342193604,3620.34765625,0.002264515950555673,6,29,432,684
0,10.309992790222168,146.0082426071167,4292.16162109375,0.008077610593144798,8,184,345,961
0,8.274993896484375,244.26738023757935,3623.13671875,0.006799324925486822,10,59,882,126
